ACC=0.734121, f1_macro=0.715954, precision_macro=0.748415, recall_macro=0.723106, f1_micro=0.734121, precision_micro=0.734121, recall_micro=0.734121, NMI=0.530054, ADJ_RAND_SCORE=0.514919
ACC=0.738183, f1_macro=0.718680, precision_macro=0.751136, recall_macro=0.725445, f1_micro=0.738183, precision_micro=0.738183, recall_micro=0.738183, NMI=0.531457, ADJ_RAND_SCORE=0.523622
ACC=0.738922, f1_macro=0.718522, precision_macro=0.749976, recall_macro=0.726533, f1_micro=0.738922, precision_micro=0.738922, recall_micro=0.738922, NMI=0.532090, ADJ_RAND_SCORE=0.527529
ACC=0.738552, f1_macro=0.717451, precision_macro=0.748423, recall_macro=0.724224, f1_micro=0.738552, precision_micro=0.738552, recall_micro=0.738552, NMI=0.531106, ADJ_RAND_SCORE=0.527362
ACC=0.737814, f1_macro=0.717008, precision_macro=0.749404, recall_macro=0.722606, f1_micro=0.737814, precision_micro=0.737814, recall_micro=0.737814, NMI=0.529727, ADJ_RAND_SCORE=0.524758
ACC=0.741507, f1_macro=0.720790, precision_macro=0.752491, recall_macro=0.726786, f1_micro=0.741507, precision_micro=0.741507, recall_micro=0.741507, NMI=0.533311, ADJ_RAND_SCORE=0.530119
ACC=0.738922, f1_macro=0.718390, precision_macro=0.746912, recall_macro=0.726112, f1_micro=0.738922, precision_micro=0.738922, recall_micro=0.738922, NMI=0.535585, ADJ_RAND_SCORE=0.527894
ACC=0.732275, f1_macro=0.711119, precision_macro=0.741174, recall_macro=0.720032, f1_micro=0.732275, precision_micro=0.732275, recall_micro=0.732275, NMI=0.525238, ADJ_RAND_SCORE=0.517661
ACC=0.735968, f1_macro=0.716401, precision_macro=0.746821, recall_macro=0.724501, f1_micro=0.735968, precision_micro=0.735968, recall_micro=0.735968, NMI=0.529995, ADJ_RAND_SCORE=0.521528
ACC=0.735598, f1_macro=0.715993, precision_macro=0.745194, recall_macro=0.724744, f1_micro=0.735598, precision_micro=0.735598, recall_micro=0.735598, NMI=0.529478, ADJ_RAND_SCORE=0.520831
ACC=0.741876, f1_macro=0.722592, precision_macro=0.750832, recall_macro=0.732728, f1_micro=0.741876, precision_micro=0.741876, recall_micro=0.741876, NMI=0.538721, ADJ_RAND_SCORE=0.531375
ACC=0.733013, f1_macro=0.712050, precision_macro=0.739028, recall_macro=0.721329, f1_micro=0.733013, precision_micro=0.733013, recall_micro=0.733013, NMI=0.523507, ADJ_RAND_SCORE=0.518080
ACC=0.737814, f1_macro=0.718059, precision_macro=0.746962, recall_macro=0.725452, f1_micro=0.737814, precision_micro=0.737814, recall_micro=0.737814, NMI=0.530729, ADJ_RAND_SCORE=0.524082
ACC=0.739660, f1_macro=0.721043, precision_macro=0.749758, recall_macro=0.730696, f1_micro=0.739660, precision_micro=0.739660, recall_micro=0.739660, NMI=0.535021, ADJ_RAND_SCORE=0.524973
ACC=0.734121, f1_macro=0.715650, precision_macro=0.741828, recall_macro=0.727796, f1_micro=0.734121, precision_micro=0.734121, recall_micro=0.734121, NMI=0.530167, ADJ_RAND_SCORE=0.518911
ACC=0.738922, f1_macro=0.717250, precision_macro=0.746921, recall_macro=0.725578, f1_micro=0.738922, precision_micro=0.738922, recall_micro=0.738922, NMI=0.534569, ADJ_RAND_SCORE=0.529871
ACC=0.740768, f1_macro=0.722002, precision_macro=0.747594, recall_macro=0.733497, f1_micro=0.740768, precision_micro=0.740768, recall_micro=0.740768, NMI=0.540654, ADJ_RAND_SCORE=0.530357
ACC=0.740399, f1_macro=0.720275, precision_macro=0.747255, recall_macro=0.730072, f1_micro=0.740399, precision_micro=0.740399, recall_micro=0.740399, NMI=0.540220, ADJ_RAND_SCORE=0.531494
ACC=0.737814, f1_macro=0.720013, precision_macro=0.747045, recall_macro=0.731349, f1_micro=0.737814, precision_micro=0.737814, recall_micro=0.737814, NMI=0.533872, ADJ_RAND_SCORE=0.521753
ACC=0.735229, f1_macro=0.717038, precision_macro=0.741250, recall_macro=0.729360, f1_micro=0.735229, precision_micro=0.735229, recall_micro=0.735229, NMI=0.529542, ADJ_RAND_SCORE=0.518260
ACC=0.731905, f1_macro=0.713234, precision_macro=0.741054, recall_macro=0.722846, f1_micro=0.731905, precision_micro=0.731905, recall_micro=0.731905, NMI=0.523583, ADJ_RAND_SCORE=0.513427
ACC=0.730428, f1_macro=0.710661, precision_macro=0.737926, recall_macro=0.721936, f1_micro=0.730428, precision_micro=0.730428, recall_micro=0.730428, NMI=0.521991, ADJ_RAND_SCORE=0.512718
ACC=0.737445, f1_macro=0.719883, precision_macro=0.745338, recall_macro=0.730924, f1_micro=0.737445, precision_micro=0.737445, recall_micro=0.737445, NMI=0.533781, ADJ_RAND_SCORE=0.519298
ACC=0.740030, f1_macro=0.723839, precision_macro=0.749376, recall_macro=0.736795, f1_micro=0.740030, precision_micro=0.740030, recall_micro=0.740030, NMI=0.538332, ADJ_RAND_SCORE=0.524016
ACC=0.734121, f1_macro=0.716264, precision_macro=0.743136, recall_macro=0.727522, f1_micro=0.734121, precision_micro=0.734121, recall_micro=0.734121, NMI=0.528991, ADJ_RAND_SCORE=0.516557
ACC=0.741507, f1_macro=0.724475, precision_macro=0.749431, recall_macro=0.738151, f1_micro=0.741507, precision_micro=0.741507, recall_micro=0.741507, NMI=0.543805, ADJ_RAND_SCORE=0.527476
ACC=0.737075, f1_macro=0.719613, precision_macro=0.747903, recall_macro=0.732181, f1_micro=0.737075, precision_micro=0.737075, recall_micro=0.737075, NMI=0.535933, ADJ_RAND_SCORE=0.521558
ACC=0.738183, f1_macro=0.719645, precision_macro=0.747834, recall_macro=0.731933, f1_micro=0.738183, precision_micro=0.738183, recall_micro=0.738183, NMI=0.533197, ADJ_RAND_SCORE=0.524039
ACC=0.737075, f1_macro=0.719564, precision_macro=0.743435, recall_macro=0.732605, f1_micro=0.737075, precision_micro=0.737075, recall_micro=0.737075, NMI=0.535401, ADJ_RAND_SCORE=0.521106
ACC=0.740399, f1_macro=0.723178, precision_macro=0.748643, recall_macro=0.736374, f1_micro=0.740399, precision_micro=0.740399, recall_micro=0.740399, NMI=0.539826, ADJ_RAND_SCORE=0.526567
ACC=0.732644, f1_macro=0.716145, precision_macro=0.740605, recall_macro=0.729142, f1_micro=0.732644, precision_micro=0.732644, recall_micro=0.732644, NMI=0.529265, ADJ_RAND_SCORE=0.511552
ACC=0.733383, f1_macro=0.714650, precision_macro=0.737848, recall_macro=0.726436, f1_micro=0.733383, precision_micro=0.733383, recall_micro=0.733383, NMI=0.529191, ADJ_RAND_SCORE=0.518529
ACC=0.737445, f1_macro=0.719772, precision_macro=0.744910, recall_macro=0.732647, f1_micro=0.737445, precision_micro=0.737445, recall_micro=0.737445, NMI=0.534351, ADJ_RAND_SCORE=0.522342
ACC=0.740030, f1_macro=0.722275, precision_macro=0.745705, recall_macro=0.736515, f1_micro=0.740030, precision_micro=0.740030, recall_micro=0.740030, NMI=0.535743, ADJ_RAND_SCORE=0.525998
ACC=0.737814, f1_macro=0.719569, precision_macro=0.744419, recall_macro=0.732270, f1_micro=0.737814, precision_micro=0.737814, recall_micro=0.737814, NMI=0.537236, ADJ_RAND_SCORE=0.525704
ACC=0.734121, f1_macro=0.717948, precision_macro=0.740188, recall_macro=0.731763, f1_micro=0.734121, precision_micro=0.734121, recall_micro=0.734121, NMI=0.527759, ADJ_RAND_SCORE=0.513136
ACC=0.738183, f1_macro=0.720211, precision_macro=0.745026, recall_macro=0.733635, f1_micro=0.738183, precision_micro=0.738183, recall_micro=0.738183, NMI=0.534310, ADJ_RAND_SCORE=0.523855
ACC=0.737075, f1_macro=0.719612, precision_macro=0.745056, recall_macro=0.732399, f1_micro=0.737075, precision_micro=0.737075, recall_micro=0.737075, NMI=0.535284, ADJ_RAND_SCORE=0.521231
ACC=0.742614, f1_macro=0.724869, precision_macro=0.750817, recall_macro=0.736999, f1_micro=0.742614, precision_micro=0.742614, recall_micro=0.742614, NMI=0.544351, ADJ_RAND_SCORE=0.530991
ACC=0.740030, f1_macro=0.723181, precision_macro=0.748211, recall_macro=0.736122, f1_micro=0.740030, precision_micro=0.740030, recall_micro=0.740030, NMI=0.541436, ADJ_RAND_SCORE=0.526368
ACC=0.743353, f1_macro=0.724846, precision_macro=0.749380, recall_macro=0.738924, f1_micro=0.743353, precision_micro=0.743353, recall_micro=0.743353, NMI=0.542888, ADJ_RAND_SCORE=0.532847
ACC=0.736706, f1_macro=0.719231, precision_macro=0.742770, recall_macro=0.733408, f1_micro=0.736706, precision_micro=0.736706, recall_micro=0.736706, NMI=0.534252, ADJ_RAND_SCORE=0.521104
ACC=0.736337, f1_macro=0.717555, precision_macro=0.741043, recall_macro=0.730169, f1_micro=0.736337, precision_micro=0.736337, recall_micro=0.736337, NMI=0.534168, ADJ_RAND_SCORE=0.523827
ACC=0.738922, f1_macro=0.721088, precision_macro=0.744006, recall_macro=0.734581, f1_micro=0.738922, precision_micro=0.738922, recall_micro=0.738922, NMI=0.533765, ADJ_RAND_SCORE=0.524203
ACC=0.741876, f1_macro=0.723429, precision_macro=0.747019, recall_macro=0.737848, f1_micro=0.741876, precision_micro=0.741876, recall_micro=0.741876, NMI=0.540196, ADJ_RAND_SCORE=0.531132
ACC=0.739660, f1_macro=0.722239, precision_macro=0.748354, recall_macro=0.734655, f1_micro=0.739660, precision_micro=0.739660, recall_micro=0.739660, NMI=0.542741, ADJ_RAND_SCORE=0.527251
ACC=0.738552, f1_macro=0.720046, precision_macro=0.744415, recall_macro=0.732946, f1_micro=0.738552, precision_micro=0.738552, recall_micro=0.738552, NMI=0.538778, ADJ_RAND_SCORE=0.527140
ACC=0.733383, f1_macro=0.715136, precision_macro=0.740191, recall_macro=0.727732, f1_micro=0.733383, precision_micro=0.733383, recall_micro=0.733383, NMI=0.535321, ADJ_RAND_SCORE=0.520491
ACC=0.740768, f1_macro=0.722481, precision_macro=0.746643, recall_macro=0.734034, f1_micro=0.740768, precision_micro=0.740768, recall_micro=0.740768, NMI=0.542828, ADJ_RAND_SCORE=0.529795
ACC=0.738552, f1_macro=0.720118, precision_macro=0.741850, recall_macro=0.734947, f1_micro=0.738552, precision_micro=0.738552, recall_micro=0.738552, NMI=0.538017, ADJ_RAND_SCORE=0.526741
